Year,Host_City,Host_NOC,year,country_noc,Total_Medals,Global_Total,Medal_Percentage,Avg_Percentage,Lift
1896,Athina,GRE,1896.0,GRE,47.0,122.0,0.38524590163934425,0.005377833807383537,71.63588824749809
1900,Paris,FRA,1900.0,FRA,112.0,284.0,0.39436619718309857,0.04471377674243419,8.819791704350438
1904,St. Louis,USA,1904.0,USA,248.0,280.0,0.8857142857142857,0.16277552806122866,5.4413233749800565
1908,London,GBR,1908.0,GBR,146.0,324.0,0.4506172839506173,0.0503638732220761,8.947232512552217
1912,Stockholm,SWE,1912.0,SWE,65.0,317.0,0.20504731861198738,0.0349373944405966,5.8689928626654035
1920,Antwerpen,BEL,1920.0,BEL,42.0,449.0,0.0935412026726058,0.010242673952665983,9.132498320739645
1924,Paris,FRA,1924.0,FRA,41.0,392.0,0.10459183673469388,0.05544616046274547,1.886367529541917
1928,Amsterdam,NED,1928.0,NED,23.0,356.0,0.06460674157303371,0.01889209606834972,3.4197762566574386
1932,Los Angeles,USA,1932.0,USA,110.0,370.0,0.2972972972972973,0.1845687498544505,1.610767248148691
1936,Berlin,GER,1936.0,GER,101.0,422.0,0.23933649289099526,0.06468356579439156,3.700112848629429
1948,London,GBR,1948.0,GBR,27.0,443.0,0.060948081264108354,0.06428063046087999,0.9481562459347724
1952,Helsinki,FIN,1952.0,FIN,22.0,459.0,0.04793028322440087,0.026189442128358355,1.8301376176509379
1956,Melbourne,AUS,1956.0,AUS,35.0,451.0,0.07760532150776053,0.02819754401712444,2.752201449198222
1960,Roma,ITA,1960.0,ITA,36.0,461.0,0.07809110629067245,0.039127982019824765,1.9957867045406648
1964,Tokyo,JPN,1964.0,JPN,29.0,504.0,0.057539682539682536,0.0325925965935841,1.7654218612029613
1968,Ciudad de México,MEX,1968.0,MEX,9.0,527.0,0.017077798861480076,0.004591331152100311,3.719574627865344
1972,München,FRG,1972.0,FRG,40.0,600.0,0.06666666666666667,0.06321010242266041,1.0546837311050947
1976,Montréal,CAN,1976.0,CAN,11.0,613.0,0.01794453507340946,0.021032949948795576,0.8531630188392585
1980,Moskva,URS,1980.0,URS,195.0,631.0,0.3090332805071315,0.1882616209979586,1.6415097185978362
1984,Los Angeles,USA,1984.0,USA,174.0,688.0,0.25290697674418605,0.186212835800862,1.3581608145136004
1988,Seoul,KOR,1988.0,KOR,33.0,739.0,0.044654939106901215,0.01857206016764939,2.404414949327243
1992,Barcelona,ESP,1992.0,ESP,22.0,815.0,0.026993865030674847,0.009197991269732702,2.9347565396699165
1996,Atlanta,USA,1996.0,USA,101.0,842.0,0.11995249406175772,0.1911370759002112,0.6275731356504716
2000,Sydney,AUS,2000.0,AUS,58.0,927.0,0.06256742179072276,0.028799060005805947,2.1725508324962357
2004,Athina,GRE,2004.0,GRE,16.0,926.0,0.017278617710583154,0.023776198003821587,0.7267191208538023
2008,Beijing,CHN,2008.0,CHN,100.0,958.0,0.10438413361169102,0.06565554881510413,1.589875273233225
2012,London,GBR,2012.0,GBR,65.0,960.0,0.06770833333333333,0.06403919288697911,1.0572952325122176
2016,Rio de Janeiro,BRA,2016.0,BRA,19.0,972.0,0.01954732510288066,0.00855406477633475,2.28515046518695
2020,Tokyo,JPN,2020.0,JPN,58.0,1080.0,0.053703703703703705,0.032775262252440235,1.638543828881347
